School_ID,Phone_Number,Link
400018,(773) 534-6316,
609674,(773) 535-6100,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609674.pdf
609676,(773) 534-9000,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609676.pdf
609678,(773) 534-8600,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609678.pdf
609679,(773) 534-3200,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609679.pdf
609680,(773) 534-0034,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609680.pdf
609682,(773) 535-4945,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609682.pdf
609691,(773) 534-8520,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609691.pdf
609692,(773) 535-3200,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609692.pdf
609693,(773) 534-6400,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609693.pdf
609694,(773) 535-2410,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609694.pdf
609695,(773) 534-2320,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609695.pdf
609698,(773) 535-2180,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609698.pdf
609702,(773) 534-7550,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609702.pdf
609704,(773) 534-1300,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609704.pdf
609705,(773) 535-5430,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609705.pdf
609707,(773) 535-3800,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609707.pdf
609708,(773) 534-3400,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609708.pdf
609709,(773) 535-9230,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609709.pdf
609710,(773) 535-5400,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609710.pdf
609711,(773) 535-9150,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609711.pdf
609712,(773) 535-3100,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609712.pdf
609713,(773) 535-0880,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609713.pdf
609715,(773) 535-4900,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609715.pdf
609716,(773) 534-4200,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609716.pdf
609718,(773) 535-2325,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609718.pdf
609719,(773) 534-5440,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609719.pdf
609720,(773) 534-5400,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609720.pdf
609722,(773) 534-6900,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609722.pdf
609723,(773) 534-6455,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609723.pdf
609724,(773) 534-2350,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609724.pdf
609725,(773) 535-2550,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609725.pdf
609726,(773) 535-9930,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609726.pdf
609727,(773) 535-1603,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609727.pdf
609728,(773) 534-5000,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609728.pdf
609729,(773) 534-3420,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609729.pdf
609730,(773) 534-2365,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609730.pdf
609732,(773) 534-3030,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609732.pdf
609733,(773) 534-2000,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609733.pdf
609734,(773) 534-1000,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609734.pdf
609735,(773) 535-1625,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609735.pdf
609736,(773) 535-1825,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609736.pdf
609737,(773) 534-5100,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609737.pdf
609738,(773) 534-8130,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609738.pdf
609739,(773) 535-5725,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609739.pdf
609740,(773) 534-7010,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609740.pdf
609741,(773) 535-2200,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609741.pdf
609744,(773) 534-5180,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609744.pdf
609745,(773) 535-9100,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609745.pdf
609746,(773) 535-1350,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609746.pdf
609749,(773) 534-3954,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609749.pdf
609751,(773) 535-1180,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609751.pdf
609753,(773) 535-2500,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609753.pdf
609754,(773) 534-9750,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609754.pdf
609755,(773) 534-7500,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609755.pdf
609756,(773) 535-2100,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609756.pdf
609759,(773) 534-4000,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609759.pdf
609760,(773) 535-5250,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609760.pdf
609761,(773) 535-5115,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609761.pdf
609762,(773) 535-5170,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609762.pdf
609764,(773) 534-7030,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609764.pdf
609766,(773) 534-3600,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609766.pdf
609768,(773) 535-3160,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609768.pdf
609769,(773) 534-9257,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609769.pdf
609772,(773) 535-6210,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609772.pdf
609773,(773) 534-5725,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609773.pdf
609774,(773) 534-5460,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609774.pdf
609775,(773) 535-3250,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609775.pdf
609777,(773) 535-4530,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609777.pdf
609779,(773) 534-2150,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609779.pdf
609780,(773) 534-4970,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609780.pdf
609781,(773) 535-1270,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609781.pdf
609782,(773) 534-5470,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609782.pdf
609786,(773) 535-6615,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609786.pdf
609788,(773) 535-2625,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609788.pdf
609789,(773) 534-3455,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609789.pdf
609790,(773) 535-3260,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609790.pdf
609791,(773) 535-3275,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609791.pdf
609792,(773) 534-5055,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609792.pdf
609793,(773) 535-3285,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609793.pdf
609794,(773) 534-0540,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609794.pdf
609795,(773) 534-6225,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609795.pdf
609796,(773) 534-3500,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609796.pdf
609797,(773) 534-6811,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609797.pdf
609798,(773) 534-3590,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609798.pdf
609799,(773) 534-5150,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609799.pdf
609800,(773) 535-5460,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609800.pdf
609803,(773) 534-5750,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609803.pdf
609804,(773) 534-2160,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609804.pdf
609805,(773) 535-3425,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609805.pdf
609806,(773) 535-6600,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609806.pdf
609807,(773) 535-4030,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609807.pdf
609808,(773) 535-5340,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609808.pdf
609809,(773) 534-4100,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609809.pdf
609810,(773) 534-3718,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609810.pdf
609811,(773) 535-6215,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609811.pdf
609812,(773) 534-7250,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609812.pdf
609813,(773) 535-3030,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609813.pdf
609815,(773) 535-0501,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609815.pdf
609817,(773) 534-2591,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609817.pdf
609818,(773) 534-3000,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609818.pdf
609819,(773) 535-1325,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609819.pdf
609820,(773) 534-5475,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609820.pdf
609821,(773) 535-6530,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609821.pdf
609826,(773) 534-1620,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609826.pdf
609827,(773) 535-3300,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609827.pdf
609828,(773) 534-4090,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609828.pdf
609829,(773) 535-7226,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609829.pdf
609830,(773) 534-6025,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609830.pdf
609832,(773) 535-2170,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609832.pdf
609833,(773) 535-6300,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609833.pdf
609834,(773) 534-1880,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609834.pdf
609835,(773) 534-4290,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609835.pdf
609836,(773) 534-1238,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609836.pdf
609837,(773) 535-0530,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609837.pdf
609839,(773) 535-9414,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609839.pdf
609842,(773) 535-9222,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609842.pdf
609844,(773) 535-0860,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609844.pdf
609845,(773) 535-5674,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609845.pdf
609848,(773) 535-5614,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609848.pdf
609849,(773) 535-2640,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609849.pdf
609850,(773) 534-5800,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609850.pdf
609851,(773) 534-1720,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609851.pdf
609852,(773) 534-2390,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609852.pdf
609853,(773) 534-4185,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609853.pdf
609854,(773) 534-4080,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609854.pdf
609855,(773) 535-9375,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609855.pdf
609856,(773) 535-5600,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609856.pdf
609857,(773) 534-5130,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609857.pdf
609859,(773) 534-2025,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609859.pdf
609861,(773) 535-2560,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609861.pdf
609862,(773) 535-6550,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609862.pdf
609863,(773) 534-4350,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609863.pdf
609864,(773) 535-3315,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609864.pdf
609865,(773) 534-2220,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609865.pdf
609866,(773) 534-5140,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609866.pdf
609867,(773) 534-7205,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609867.pdf
609869,(773) 535-9180,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609869.pdf
609870,(773) 534-1650,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609870.pdf
609871,(773) 535-2671,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609871.pdf
609872,(773) 534-7650,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609872.pdf
609873,(773) 534-1680,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609873.pdf
609874,(773) 534-1090,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609874.pdf
609875,(773) 534-4110,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609875.pdf
609876,(773) 535-4540,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609876.pdf
609879,(773) 535-2350,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609879.pdf
609880,(773) 534-2201,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609880.pdf
609881,(773) 534-6620,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609881.pdf
609883,(773) 535-3035,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609883.pdf
609884,(773) 534-3090,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609884.pdf
609885,(773) 535-1666,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609885.pdf
609887,(773) 535-3834,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609887.pdf
609888,(773) 534-6640,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609888.pdf
609891,(773) 535-1040,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609891.pdf
609893,(773) 535-2080,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609893.pdf
609894,(773) 534-9129,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609894.pdf
609895,(773) 535-5720,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609895.pdf
609896,(773) 534-4120,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609896.pdf
609897,(773) 535-9130,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609897.pdf
609898,(773) 535-9190,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609898.pdf
609899,(773) 534-1070,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609899.pdf
609900,(773) 535-5050,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609900.pdf
609901,(773) 534-1194,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609901.pdf
609902,(773) 535-5590,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609902.pdf
609903,(773) 535-4875,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609903.pdf
609904,(773) 534-6361,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609904.pdf
609906,(773) 534-6050,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609906.pdf
609907,(773) 534-6660,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609907.pdf
609908,(773) 535-2650,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609908.pdf
609909,(773) 535-4550,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609909.pdf
609910,(773) 534-3560,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609910.pdf
609912,(773) 534-3535,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609912.pdf
609913,(773) 535-9365,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609913.pdf
609916,(773) 535-0540,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609916.pdf
609917,(773) 535-2700,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609917.pdf
609918,(773) 534-2030,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609918.pdf
609919,(773) 535-0990,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609919.pdf
609920,(773) 534-1736,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609920.pdf
609921,(773) 534-1402,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609921.pdf
609922,(773) 534-2900,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609922.pdf
609924,(773) 535-2680,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609924.pdf
609925,(773) 534-6602,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609925.pdf
609926,(773) 534-8510,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609926.pdf
609927,(773) 535-2725,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609927.pdf
609928,(773) 535-1687,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609928.pdf
609929,(773) 535-9000,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609929.pdf
609930,(773) 534-4125,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609930.pdf
609932,(773) 535-5661,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609932.pdf
609933,(773) 534-2100,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609933.pdf
