School_ID,Instruction_Icon,Instruction_Score
400018,Weak,33
609674,Weak,30
609676,Weak,37
609678,Strong,67
609679,Average,51
609680,Strong,77
609682,Very Weak,19
609691,Weak,25
609692,Average,42
609693,Very Strong,80
609694,Average,41
609695,Average,42
609698,Weak,29
609702,Average,48
609704,Weak,32
609705,Weak,32
609707,Average,40
609708,Weak,23
609709,Weak,37
609710,NDA,
609711,Average,42
609712,Weak,28
609713,Average,43
609715,Weak,35
609716,Weak,28
609718,Weak,27
609719,Average,43
609720,Average,52
609722,Weak,31
609723,Average,46
609724,Average,47
609725,Weak,38
609726,Average,49
609727,NDA,
609728,Weak,37
609729,Weak,29
609730,Average,42
609732,Weak,34
609733,Weak,34
609734,Weak,32
609735,Weak,37
609736,Average,47
609737,Average,51
609738,Average,49
609739,Weak,36
609740,Weak,38
609741,Weak,29
609744,Weak,34
609745,NDA,
609746,Average,56
609749,Very Strong,88
609751,NDA,
609753,Average,47
609754,Weak,35
609755,Strong,67
609756,Average,45
609759,Weak,34
609760,Weak,34
609761,Average,48
609762,Weak,35
609764,Average,45
609766,Weak,20
609768,Average,44
609769,Weak,39
609772,Average,46
609773,Weak,21
609774,NDA,
609775,Average,58
609777,Very Weak,14
609779,Strong,64
609780,Weak,35
609781,Average,57
609782,Strong,60
609786,Weak,32
609788,Average,58
609789,Very Strong,81
609790,Weak,34
609791,Average,57
609792,Average,47
609793,Strong,73
609794,Average,56
609795,Weak,36
609796,Average,47
609797,Average,58
609798,Strong,69
609799,Average,46
609800,Strong,66
609803,Strong,74
609804,Average,48
609805,Average,53
609806,Average,50
609807,Weak,28
609808,Strong,60
609809,Average,46
609810,Weak,35
609811,Weak,27
609812,Strong,78
609813,Very Strong,82
609815,Average,50
609817,Weak,38
609818,Weak,34
609819,Weak,22
609820,Strong,65
609821,Very Strong,99
609826,Weak,20
609827,Strong,70
609828,Average,51
609829,Weak,38
609830,Average,45
609832,Weak,38
609833,Average,44
609834,Strong,66
609835,Average,50
609836,Strong,64
609837,Strong,63
609839,Very Weak,12
609842,Average,56
609844,Weak,35
609845,Weak,30
609848,Weak,39
609849,Weak,36
609850,Weak,38
609851,Average,45
609852,Average,51
609853,Weak,39
609854,Very Strong,99
609855,NDA,
609856,Weak,30
609857,Average,47
609859,Average,52
609861,Strong,61
609862,Average,54
609863,Average,55
609864,NDA,
609865,Average,49
609866,Weak,39
609867,NDA,
609869,Weak,32
609870,Weak,29
609871,NDA,
609872,Average,45
609873,Average,52
609874,Very Weak,1
609875,Weak,34
609876,Average,46
609879,Weak,30
609880,Very Strong,99
609881,Average,52
609883,Average,51
609884,Strong,78
609885,Weak,35
609887,Average,52
609888,Strong,73
609891,Average,46
609893,Strong,79
609894,Average,46
609895,Average,51
609896,Average,46
609897,Strong,71
609898,Weak,34
609899,Average,50
609900,Average,58
609901,Average,53
609902,NDA,
609903,Average,41
609904,Average,55
609906,Strong,71
609907,Average,52
609908,Average,43
609909,NDA,
609910,Weak,27
609912,Weak,38
609913,Average,56
609916,Strong,63
609917,Average,43
609918,Weak,37
609919,Average,55
609920,Average,48
609921,Weak,22
609922,Strong,66
609924,Strong,71
609925,Average,45
609926,Average,55
609927,Weak,22
609928,Weak,33
609929,Strong,63
609930,Very Weak,16
609932,NDA,
609933,Weak,27
609935,Weak,32
609937,Average,51
609938,Weak,28
609939,Average,45
609941,Average,48
609942,Average,52
609943,Average,52
609944,Strong,64
609945,Strong,61
609947,Weak,33
609949,Weak,35
609950,NDA,
609951,NDA,
609952,NDA,
609954,Average,43
609955,Very Weak,11
609956,Average,59
609958,Average,45
609959,Weak,37
609960,Average,56
609961,Average,55
609963,Average,59
609964,Average,43
609966,Average,43
609967,Average,52
609968,NDA,
609969,Strong,76
609971,Strong,61
609972,Average,49
609973,Average,42
609974,Average,56
609975,Strong,61
609976,Average,44
609977,Strong,66
609978,Very Weak,1
609979,Weak,36
609981,Weak,27
609983,Weak,24
609985,Strong,63
609986,Weak,38
609987,Strong,78
609988,Average,43
609989,Strong,72
609990,Weak,36
609991,Strong,65
609993,Weak,37
609994,NDA,
609995,Average,58
609996,Weak,35
609997,Average,41
610000,Strong,69
610002,Strong,73
610003,Average,54
610004,Weak,34
610005,Strong,72
610006,Average,49
610009,Average,42
610010,Average,59
610011,Strong,66
610012,Average,41
610013,Average,55
610015,Average,53
610016,Strong,63
610017,Strong,64
610018,Weak,37
610019,Average,56
610020,Strong,64
610021,NDA,
610022,NDA,
610023,Average,47
610024,NDA,
610026,Average,54
610027,Average,42
610028,Very Weak,13
610029,Weak,37
610030,Average,40
610031,Weak,38
610032,Average,53
610033,Average,52
610034,NDA,
610036,Strong,64
610037,Strong,60
610038,Strong,66
610039,Strong,75
610040,NDA,
610041,Average,56
610043,Weak,22
610044,Average,40
610045,Average,51
610046,Weak,38
610047,Weak,28
610048,Average,40
610051,Very Weak,13
610052,Weak,30
610053,Very Weak,17
610054,Weak,39
610055,Strong,66
610056,Average,58
610057,Weak,34
610058,Average,56
610059,Average,46
610060,Average,46
610061,Strong,65
610062,Average,40
610063,NDA,
610065,Average,40
610066,Average,52
610067,Average,54
610068,Weak,33
610070,Weak,38
610072,Average,55
610073,Very Strong,95
610074,Weak,22
610075,Very Weak,14
610076,Weak,32
610077,Weak,39
610078,Average,51
610081,Strong,63
610082,Weak,38
610083,NDA,
610084,Very Strong,82
610085,Weak,23
610086,Average,44
610087,NDA,
610088,Weak,32
610089,Average,59
610090,Weak,37
610091,Weak,33
610092,Strong,76
610093,Weak,28
610094,Weak,30
610095,Strong,66
610096,Average,48
610097,Strong,62
610098,Weak,35
610099,Strong,68
610100,Average,40
610101,NDA,
610102,Average,49
610103,Weak,29
610104,Weak,27
610105,Strong,71
610106,Weak,31
610107,Average,58
610108,Average,40
610109,Average,56
610110,Very Strong,93
610111,Strong,68
610112,Average,57
610114,Weak,39
610115,Average,48
610116,NDA,
610117,Weak,38
610119,Strong,61
610120,Average,47
610121,Average,44
610122,Weak,22
610123,Very Strong,99
610124,Strong,63
610125,Strong,62
610126,NDA,
610127,Average,58
610128,Average,48
610129,Weak,37
610130,Strong,62
610131,Weak,28
610132,Very Strong,88
610133,NDA,
610134,Very Strong,83
610135,Weak,32
610136,Weak,24
610137,Average,42
610138,Average,57
610139,Strong,75
610141,Average,41
610142,Very Weak,12
610143,Weak,26
610144,Weak,34
610145,Weak,30
610146,Average,56
610147,Strong,62
610148,Average,52
610150,Average,50
610152,Average,41
610153,Average,50
610154,Average,43
610155,Strong,61
610156,Strong,62
610157,Weak,39
610158,Average,50
610159,Weak,20
610160,Average,54
610161,Average,59
610163,NDA,
610165,NDA,
610167,Average,41
610169,Weak,34
610170,Strong,63
610171,Average,54
610172,Average,55
610173,Average,58
610174,Average,58
610175,Weak,39
610176,Average,51
610177,Average,53
610178,Average,53
610179,Average,45
610180,Strong,64
610182,Strong,62
610183,Strong,71
610184,Strong,67
610185,Weak,36
610187,Average,57
610188,Strong,71
610189,Strong,68
610191,Average,43
610192,Weak,31
610193,Average,40
610194,Average,48
610195,Average,59
610196,Strong,60
610197,Strong,71
610198,Very Weak,1
610199,Strong,63
610200,Weak,39
610201,Average,40
610202,Average,41
610203,NDA,
610205,Weak,25
610206,Average,44
610207,Weak,31
610208,Average,46
610209,Weak,37
610210,Average,45
610212,Strong,71
610213,NDA,
610215,Average,47
610216,Very Strong,91
610217,Average,46
610218,Average,40
610219,Average,43
610220,Average,54
610221,Strong,66
610223,Weak,36
610224,Average,47
610225,Weak,28
610226,NDA,
610227,Average,53
610228,Weak,24
610229,Strong,61
610230,Strong,67
610231,Strong,60
610232,NDA,
610233,Average,50
610234,Strong,73
610235,Average,50
610237,Average,59
610238,Strong,63
610239,Average,46
610240,Weak,22
610241,Strong,76
610242,Average,59
610243,Average,54
610244,NDA,
610245,Weak,37
610246,Average,48
610248,Weak,22
610249,Very Strong,99
610250,Average,53
610251,Very Strong,81
610252,Strong,65
610253,Weak,26
610254,Strong,69
610256,NDA,
610257,Strong,63
610258,Average,46
610263,Average,42
610264,Strong,68
610265,Average,58
610266,Average,49
610268,NDA,
610269,Average,41
610271,Strong,67
610273,Very Strong,98
610274,Strong,75
610276,Weak,38
610277,Strong,76
610279,Average,55
610280,Weak,20
610281,Very Strong,84
610282,Average,59
610283,Weak,22
610284,NDA,
610285,Weak,31
610287,Average,40
610290,Average,48
610291,Weak,35
610293,Strong,77
610295,NDA,
610297,NDA,
610298,Strong,67
610299,Weak,29
610300,Average,54
610304,Strong,78
610305,NDA,
610308,NDA,
610312,NDA,
610313,Average,40
610315,Average,48
610316,Strong,73
610317,Average,43
610319,Average,44
610320,Very Weak,14
610321,Very Weak,1
610323,Weak,25
610325,Weak,28
610329,Average,44
610334,Average,53
610336,Average,48
610339,Average,42
610340,Average,53
610342,Very Weak,18
610345,Very Weak,1
610347,Average,51
610348,Very Strong,99
610350,Average,58
610352,Average,58
610353,Strong,72
610354,Average,51
610355,Very Strong,80
610357,Very Strong,87
610362,Average,49
610363,NDA,
610364,Average,42
610365,Weak,39
610366,Weak,32
610367,Average,53
610368,Weak,30
610369,Strong,66
610380,Average,54
610381,Average,43
610383,Average,44
610384,Strong,65
610385,Average,42
610389,NDA,
610390,Average,42
610391,Very Strong,85
610392,Average,47
610394,Strong,62
610395,Average,55
610396,Average,40
610402,NDA,
610405,NDA,
610499,Average,46
610501,Average,53
610502,Weak,34
610503,Strong,72
610504,NDA,
610506,Average,53
610513,Average,55
610515,NDA,
610518,Average,52
610520,Average,52
610521,Average,54
610523,Average,49
610524,Average,51
610529,Weak,24
610530,NDA,
610532,Weak,27
610533,NDA,
610534,NDA,
610535,Average,59
610539,Average,41
610541,Average,58
610542,Weak,28
610543,Strong,63
610544,Very Strong,81
